# HVACIDA 气象数据库(GB 50736-2012 附录A 表A 室外空气计算参数)
# 源文件: 各省市室外空气参数.md
# 源文件 SHA256: 36c4e4255a1becc55c044222d596e14382f5aa7d0cec93c497906a1b967942d4
# 源文件字节数: 257361
# 台站数: 294
# 重新生成: python tools/weatherdb/build_weather_db.py
# 本文件是生成物,不要手改;改数据请改源文件后重跑生成器
# (门禁 tools/weatherdb/check-weather-db-sync.ps1 会校验源文件 SHA256 与台站数)。
station_id,province,city,station_name,latitude,longitude,elevation_m,stats_period,annual_mean_temp_c,heating_outdoor_c,winter_vent_outdoor_c,winter_ac_outdoor_c,winter_ac_rh_pct,summer_ac_dry_bulb_c,summer_ac_wet_bulb_c,summer_vent_dry_bulb_c,summer_vent_rh_pct,summer_ac_daily_mean_c,winter_atm_pressure_hpa,summer_atm_pressure_hpa,extreme_max_c,extreme_min_c,max_frost_depth_cm,winter_sunshine_pct
54511,北京,北京,北京,39°48',116°28',31.3,1971~2000,12.3,-7.6,-3.6,-9.9,44,33.5,26.4,29.7,61,29.6,1021.7,1000.2,41.9,-18.3,66,64
54527,天津,天津,天津,39°05',117°04',2.5,1971~2000,12.7,-7,-3.5,-9.6,56,33.9,26.8,29.8,63,29.4,1027.1,1005.2,40.5,-17.8,58,58
54623,天津,塘沽,塘沽,39°00',117°43',2.8,1971~2000,12.6,-6.8,-3.3,-9.2,59,32.5,26.9,28.8,68,29.6,1026.3,1004.6,40.9,-15.4,59,63
53698,河北,石家庄,石家庄,38°02',114°25',81,1971~2000,13.4,-6.2,-2.3,-8.8,55,35.1,26.8,30.8,60,30,1017.2,995.8,41.5,-19.3,56,56
54534,河北,唐山,唐山,39°40',118°09',27.8,1971~2000,11.5,-9.2,-5.1,-11.6,55,32.9,26.3,29.2,63,28.5,1023.6,1002.4,39.6,-22.7,72,60
53798,河北,邢台,邢台,37°04',114°30',76.8,1971~2000,13.9,-5.5,-1.6,-8,57,35.1,26.9,31,61,30.2,1017.7,996.2,41.1,-20.2,46,56
54602,河北,保定,保定,38°51',115°31',17.2,1971~2000,12.9,-7,-3.2,-9.5,55,34.8,26.6,30.4,61,29.8,1025.1,1002.9,41.6,-19.6,58,56
54401,河北,张家口,张家口,40°47',114°53',724.2,1971~2000,8.8,-13.6,-8.3,-16.2,41,32.1,22.6,27.8,50,27,939.5,925,39.2,-24.6,136,65
54423,河北,承德,承德,40°58',117°56',377.2,1971~2000,9.1,-13.3,-9.1,-15.7,51,32.7,24.1,28.7,55,27.4,980.5,963.3,43.3,-24.2,126,65
54449,河北,秦皇岛,秦皇岛,39°56',119°36',2.6,1971~2000,11,-9.6,-4.8,-12,51,30.6,25.9,27.5,55,27.7,1026.4,1005.6,39.2,-20.8,85,64
54616,河北,沧州,沧州,38°20',116°50',9.6,1971~1995,12.9,-7.1,-3,-9.6,57,34.3,26.7,30.1,63,29.7,1027,1004,40.5,-19.5,43,64
54518,河北,廊坊,霸州,39°07',116°23',9.0,1971~2000,12.2,-8.3,-4.4,-11,54,34.4,26.6,30.1,61,29.6,1026.4,1004.4,41.3,-21.5,67,57
54606,河北,衡水,饶阳,38°14',115°44',18.9,1971~2000,12.5,-7.9,-3.9,-10.4,59,34.8,26.9,30.5,61,29.6,1024.9,1002.8,41.2,-22.6,77,63
53772,山西,太原,太原,37°47',112°33',778.3,1971~2000,10,-10.1,-5.5,-12.8,50,31.5,23.8,27.8,58,26.1,933.5,919.8,37.4,-22.7,72,57
53487,山西,大同,大同,40°06',113°20',1067.2,1971~2000,7,-16.3,-10.6,-18.9,50,30.9,21.2,26.4,49,25.3,899.9,889.1,37.2,-27.2,186,61
